job_title,salary_in_usd
Data Analytics Lead,405000.0
Principal Data Engineer,328333.3333333333
Financial Data Analyst,275000.0
Principal Data Scientist,215242.42857142858
Director of Data Science,195074.0
Data Architect,177873.9090909091
Applied Data Scientist,175655.0
Analytics Engineer,175000.0
Data Specialist,165000.0
Head of Data,160162.6
